All stim.
[996, 997, 998, 999, 1000]
Reward stim.
[996, 997, 998]
time,whichstim,iftouch,ifreward,ifout
2.637465000152588,996,0,0,0
2.6550939083099365,996,0,0,0
2.6710562705993652,996,0,0,0
2.6872541904449463,996,0,0,0
2.7033438682556152,996,0,0,0
2.7197494506835938,996,0,0,0
2.7359395027160645,996,0,0,0
2.7523109912872314,996,0,0,0
2.7679388523101807,996,0,0,0
2.7842209339141846,996,0,0,0
2.8007216453552246,996,0,0,0
2.817246913909912,996,0,0,0
2.833322763442993,996,0,0,0
2.8490660190582275,996,0,0,0
2.865123748779297,996,0,0,0
2.881418466567993,996,0,0,0
2.896959066390991,996,0,0,0
2.913059949874878,996,0,0,0
2.929856538772583,996,0,0,0
2.946061372756958,996,0,0,0
2.962437868118286,996,0,0,0
2.978168487548828,996,0,0,0
2.994279384613037,996,0,0,0
3.0097920894622803,996,0,0,0
3.0332865715026855,1000,0,0,0
3.0424864292144775,1000,0,0,0
3.058072328567505,1000,0,0,0
3.0742344856262207,1000,0,0,0
3.0900561809539795,1000,0,0,0
3.1062123775482178,1000,0,0,0
3.1224467754364014,1000,0,0,0
3.138415575027466,1000,0,0,0
3.1533827781677246,1000,0,0,0
3.1691396236419678,1000,0,0,0
3.1851391792297363,1000,0,0,0
3.2013750076293945,1000,0,0,0
3.217266798019409,1000,0,0,0
3.233304023742676,1000,0,0,0
3.249053955078125,1000,0,0,0
3.265134572982788,1000,0,0,0
3.2814688682556152,1000,0,0,0
3.297316789627075,1000,0,0,0
3.3133554458618164,1000,0,0,0
3.329115390777588,1000,0,0,0
3.345254898071289,1000,0,0,0
3.3615195751190186,1000,0,0,0
3.377328634262085,1000,0,0,0
3.3933145999908447,1000,0,0,0
3.4097490310668945,1000,0,0,0
3.4262678623199463,1000,0,0,0
3.4418928623199463,1000,0,0,0
3.458122491836548,1000,0,0,0
3.4747002124786377,1000,0,0,0
3.490025043487549,1000,0,0,0
3.5064592361450195,1000,0,0,0
3.522719383239746,1000,0,0,0
3.5395312309265137,1000,0,0,0
3.5554676055908203,1000,0,0,0
3.571707010269165,1000,0,0,0
3.5882272720336914,1000,0,0,0
3.6041946411132812,1000,0,0,0
