All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654600.5088975,0,0,0,0
1551654600.5248048,0,0,0,0
1551654600.5407946,0,0,0,0
1551654600.5567448,0,0,0,0
1551654600.5726783,0,0,0,0
1551654600.588566,0,0,0,0
1551654600.6045382,0,0,0,0
1551654600.620604,0,0,0,0
1551654600.6365778,0,0,0,0
1551654600.6535108,0,0,0,0
1551654600.6705546,0,0,0,0
1551654600.6874523,0,0,0,0
1551654600.7041428,0,0,0,0
1551654600.7211444,0,0,0,0
1551654600.7379847,0,0,0,0
1551654600.7551486,0,0,0,0
1551654600.771778,0,0,0,0
1551654600.787746,0,0,0,0
1551654600.8037004,0,0,0,0
1551654600.8196447,0,0,0,0
1551654600.8355904,0,0,0,0
1551654600.8515704,0,0,0,0
1551654600.8675902,0,0,0,0
1551654600.8836815,0,0,0,0
1551654600.9006872,0,0,0,0
1551654600.917527,0,0,0,0
1551654600.934367,0,0,0,0
1551654600.9514105,0,0,0,0
1551654600.96829,0,0,0,0
1551654600.9848335,0,0,0,0
1551654601.0014684,0,0,0,0
1551654601.0181103,0,0,0,0
1551654601.0342858,0,0,0,0
1551654601.0504103,0,0,0,0
1551654601.0673225,0,0,0,0
1551654601.084296,0,0,0,0
1551654601.1011696,0,0,0,0
1551654601.1171143,0,0,0,0
1551654601.133089,0,0,0,0
1551654601.1490264,0,0,0,0
1551654601.1649776,0,0,0,0
1551654601.18105,0,0,0,0
1551654601.197039,0,0,0,0
1551654601.2136793,0,0,0,0
1551654601.2295625,0,0,0,0
1551654601.2454638,0,0,0,0
1551654601.2618344,0,0,0,0
1551654601.2777667,0,0,0,0
1551654601.2937145,0,0,0,0
1551654601.309626,0,0,0,0
1551654601.325796,0,0,0,0
1551654601.3417792,0,0,0,0
1551654601.3579457,0,0,0,0
1551654601.3741515,0,0,0,0
1551654601.3900533,0,0,0,0
1551654601.4060423,0,0,0,0
1551654601.4221773,0,0,0,0
1551654601.4380965,0,0,0,0
1551654601.4540343,0,0,0,0
1551654601.4700775,0,0,0,0
1551654601.4860315,0,0,0,0
1551654601.501959,0,0,0,0
1551654601.5180273,0,0,0,0
1551654601.53397,0,0,0,0
1551654601.5498626,0,0,0,0
1551654601.566555,0,0,0,0
1551654601.5835643,0,0,0,0
1551654601.6004283,0,0,0,0
1551654601.6174486,0,0,0,0
1551654601.6340203,0,0,0,0
1551654601.6509001,0,0,0,0
1551654601.6673148,0,0,0,0
1551654601.6834633,0,0,0,0
1551654601.6994064,0,0,0,0
1551654601.7153947,0,0,0,0
1551654601.7315984,0,0,0,0
1551654601.7475717,0,0,0,0
1551654601.7635078,0,0,0,0
1551654601.7795813,0,0,0,0
1551654601.7955568,0,0,0,0
1551654601.811515,0,0,0,0
1551654601.8276365,0,0,0,0
1551654601.8435988,0,0,0,0
1551654601.859505,0,0,0,0
1551654601.8756099,0,0,0,0
1551654601.891607,0,0,0,0
1551654601.9075766,0,0,0,0
1551654601.9236858,0,0,0,0
1551654601.9396167,0,0,0,0
